#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 03 20 09 50 343  0.5  1.6 99.00 99.00 99.00 999 1008.2   6.0   7.3 999.0 99.0 99.00
2012 03 20 10 50 352  0.2  1.2 99.00 99.00 99.00 999 1008.3   6.6   7.3 999.0 99.0 99.00
2012 03 20 11 50 180  0.0  0.2 99.00 99.00 99.00 999 1008.8   5.2   6.9 999.0 99.0 99.00
2012 03 20 12 50 340  0.2  1.2 99.00 99.00 99.00 999 1009.1   5.3   6.8 999.0 99.0 99.00
2012 03 20 13 50 314  0.1  1.3 99.00 99.00 99.00 999 1009.6   5.6   7.2 999.0 99.0 99.00
2012 03 20 14 50 197  0.3  0.9 99.00 99.00 99.00 999 1010.0   5.9   7.7 999.0 99.0 99.00
2012 03 20 15 50 180  0.1  0.9 99.00 99.00 99.00 999 1010.5   7.8   8.4 999.0 99.0 99.00
2012 03 20 16 50 180  0.0  0.0 99.00 99.00 99.00 999 1011.0   8.3   9.4 999.0 99.0 99.00
2012 03 20 17 50 180  0.1  0.8 99.00 99.00 99.00 999 1011.3  10.9  10.4 999.0 99.0 99.00
2012 03 20 18 50  63  0.2  2.6 99.00 99.00 99.00 999 1010.8  15.0  11.6 999.0 99.0 99.00
2012 03 20 19 50 195  1.8  2.6 99.00 99.00 99.00 999 1011.5  15.3  12.5 999.0 99.0 99.00
2012 03 20 20 50 186  1.2  1.5 99.00 99.00 99.00 999 1011.9  14.7  13.1 999.0 99.0 99.00
2012 03 20 21 50 186  0.5  1.2 99.00 99.00 99.00 999 1012.0  14.4  13.4 999.0 99.0 99.00
